Date,U.S. Natural Gas Gross Withdrawals (MMcf),Alaska Natural Gas Gross Withdrawals (MMcf),Arkansas Natural Gas Gross Withdrawals (MMcf),California Natural Gas Gross Withdrawals (MMcf),Colorado Natural Gas Gross Withdrawals (MMcf),Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),Kansas Natural Gas Gross Withdrawals (MMcf),Louisiana Natural Gas Gross Withdrawals (MMcf),Montana Natural Gas Gross Withdrawals (MMcf),New Mexico Natural Gas Gross Withdrawals (MMcf),North Dakota Natural Gas Gross Withdrawals (MMcf),Ohio Natural Gas Gross Withdrawals (MMcf),Oklahoma Natural Gas Gross Withdrawals (MMcf),Pennsylvania Natural Gas Gross Withdrawals (MMcf),Texas Natural Gas Gross Withdrawals (MMcf),Utah Natural Gas Gross Withdrawals (MMcf),West Virginia Natural Gas Gross Withdrawals (MMcf),Wyoming Natural Gas Gross Withdrawals (MMcf)
01/06/1997,1943561,263530,16715,32687,51520,426888,60159,118560,3896,138457,4666,9197,138038,6330,469493,21261,14086,89491
01/07/1997,2011169,257063,16863,34216,53741,434325,58392,122768,4191,145057,4696,9340,144769,6428,485521,23140,13801,97342
01/08/1997,2013271,267980,17155,34101,54767,439712,62081,124649,4310,147409,4810,9343,147528,6430,483226,22268,14247,94033
01/09/1997,1979180,273595,16441,33090,53540,428689,49792,120825,4251,142143,4755,9211,150488,6339,467310,23171,14133,97832
01/10/1997,2056810,296925,17769,34063,55061,440668,53961,135874,3273,147896,4850,10034,145054,6905,479632,24243,14612,99080
01/11/1997,1999185,293241,17253,33792,56446,425849,54299,132006,4897,134022,4765,10052,135537,6918,465642,23938,13666,96290
01/12/1997,2043797,306153,18654,34003,57927,441756,53980,135532,5291,131445,4949,10527,137731,7245,465743,24103,15315,99364
01/01/1998,2103350,301837,17907,34320,58198,443757,53181,135584,5159,142541,4935,10208,158138,11560,493460,22781,15960,100342
01/02/1998,1890587,285739,15344,29705,53709,398519,48832,125182,4823,130346,4344,9116,129803,10323,449886,22494,15303,91826
01/03/1998,2097816,303437,16473,33367,59644,448486,53093,136311,5158,145024,4683,9823,140812,11123,495307,24410,15449,100054
01/04/1998,2009141,276571,15675,31131,58382,438144,51554,134472,4970,139798,4694,9421,138606,10668,481373,24247,14393,95700
01/05/1998,2053427,253993,15471,33413,58778,457815,54474,137603,5115,143773,4952,9488,147808,10744,494995,26208,14554,91932
01/06/1998,1988362,263368,15033,32046,56504,435237,53003,133592,4549,132833,4768,9106,138309,10311,478404,25169,14718,93484
01/07/1998,2017746,256916,15141,34472,58585,439093,51446,134688,4824,139174,4900,9246,137825,10470,494102,25380,14420,95647
01/08/1998,2037306,267793,15432,34254,59309,443144,54188,133875,4736,141431,4976,9249,140044,10474,498769,26349,14886,97203
01/09/1998,1883936,273401,14803,33305,57691,336241,43550,122499,4891,136380,4750,9119,137263,10327,476492,23834,14767,96535
01/10/1998,2029621,296751,16002,34760,61637,421315,47195,123298,5046,141911,4943,9933,135641,11248,489829,26100,15268,101880
01/11/1998,1972556,293056,15555,33382,60275,414058,47491,128045,5050,128573,4814,9952,136940,11269,473462,25344,14280,99308
01/12/1998,2024280,305985,16873,33415,62098,434518,47212,134286,5187,126140,4855,10422,128176,11801,472814,24949,16003,97535
